id,foreignId,high,low,Volume,last,unixTimestamp,bid,ask,openBuys,openSells,prevDay
45,112,1.66699,1.472,9683.07223111,1.52799,1562719885,1.51899,1.53599,146,125,1.51
46,179,1.00098,0.996,28597.62417696,0.99701,1562719885,0.999,1.00097,47,37,1
47,238,0.01799,0.01533,237952.18729116,0.0167,1562719885,0.01651,0.01767,53,288,0.01734
48,1,12882.439,12113.347,1548.02591179,12832.674,1562719885,12837.511,12849.994,3880,1546,12273.99
49,2,124.238,118,4274.2829344,119.579,1562719885,119.451,119.827,483,865,122.5
50,178,0.035,0.03364,6261627.48229469,0.03445,1562719885,0.0344,0.03454,231,307,0.0342
51,226,1,0.99,1134.75805384,1,1562719885,0.99,0.99999,46,26,0.996
52,160,428,410.112,614.82052981,420.777,1562719885,418.147,419.559,188,226,416.443
53,106,106.965,98.552,552.39928588,99.594,1562719885,100.618,101.453,155,222,105.733
54,94,8.128,7.76701,7224.56746922,7.915,1562719885,7.87908,7.945,146,340,7.99953
55,38,0.01355,0.0124,1563359.85408202,0.01331,1562719885,0.0133,0.01331,135,429,0.01297
56,162,0.08079,0.07717,1861315.11792904,0.07777,1562719885,0.07781,0.07843,248,711,0.08
57,140,0.302,0.29,147485.26697668,0.299,1562719885,0.298,0.299,84,261,0.298
58,48,0.40662,0.39004,587393.00366465,0.39673,1562719885,0.39673,0.397,441,1553,0.404
59,138,9.987,9.0612,3037.98378027,9.0612,1562719885,9.23101,9.35299,90,208,9.537
60,139,0.00344,0.00311,9905731.16553996,0.00331,1562719885,0.00321,0.00349,150,252,0.00312
61,71,1.00857,0.99916,330571.81176088,1.002,1562719885,1.002,1.00356,264,177,1.00499
62,221,214,200.69,823.45152144,206.191,1562719885,205.704,206.837,212,193,200.69
63,208,0.01661,0.0165,23534.38535536,0.01661,1562719885,0.01613,0.01799,32,75,0.0165
64,215,1.005,0.998,24062.07138084,0.998,1562719885,0.99801,1.00609,66,23,0.999
65,67,318.021,303.307,3926.04004572,312.172,1562719885,312.108,312.316,970,758,310.868
66,175,0.29453,0.287,11517.40493608,0.29225,1562719886,0.28682,0.29197,48,80,0.293
67,112,1.66699,1.472,9683.07223111,1.52799,1562720137,1.49942,1.53651,147,128,1.51
68,179,1.00098,0.996,28597.62417696,0.99701,1562720137,0.999,1.00097,46,37,1
69,238,0.01799,0.01533,237952.18729116,0.0167,1562720137,0.01651,0.01767,53,288,0.01734
70,1,12893.543,12113.347,1550.45734675,12888,1562720137,12860.163,12866.824,3873,1543,12269.769
71,2,124.238,118,4188.95659853,119.827,1562720137,119.501,119.808,484,865,122.654
72,178,0.035,0.03364,6261627.48229469,0.03445,1562720137,0.0344,0.03468,231,306,0.0342
73,226,1,0.99,1134.75805384,1,1562720137,0.99,0.99999,47,26,0.996
74,160,428,410.112,615.69033149,419.248,1562720137,417.819,419.009,185,227,416.443
75,106,106.965,98.552,552.39928588,99.594,1562720137,100.661,101.373,157,222,105.733
76,94,8.128,7.76701,7224.56746922,7.915,1562720137,7.85701,7.937,145,342,7.99953
77,38,0.01355,0.0124,1616082.48204574,0.01331,1562720137,0.01321,0.01347,135,430,0.01297
78,162,0.08079,0.07717,1857574.49292904,0.07777,1562720137,0.078,0.0786,248,714,0.08006
79,140,0.302,0.29,147485.26697668,0.299,1562720137,0.298,0.299,86,258,0.298
80,48,0.40662,0.39004,569086.68806395,0.39673,1562720137,0.39673,0.397,441,1553,0.4032
81,138,9.987,9.0612,3037.98378027,9.0612,1562720137,9.24201,9.393,89,205,9.537
82,139,0.00344,0.00311,9905731.16553996,0.00331,1562720137,0.00321,0.00349,150,252,0.00312
83,71,1.00857,0.99916,330596.22679866,1.002,1562720137,1.002,1.00356,263,177,1.00499
84,221,214,200.69,823.45152144,206.191,1562720137,205.868,206.837,213,194,200.69
85,208,0.01661,0.0165,23534.38535536,0.01661,1562720137,0.01613,0.01799,32,75,0.0165
86,215,1.005,0.998,24062.07138084,0.998,1562720137,0.99801,1.00609,65,23,0.999
