id,foreignId,high,low,Volume,last,unixTimestamp,bid,ask,openBuys,openSells,prevDay
97,163,0.0001785,0.00016258,245526.37242652,0.00016997,1562719810,0.000169,0.0001696,82,244,0.00016258
98,60,0.00029832,0.00028482,171774.23893263,0.0002903,1562719810,0.00028809,0.00029095,125,300,0.00029832
99,139,0.00001104,0.00001035,22741709.51249488,0.0000108,1562719810,0.00001081,0.0000109,86,670,0.00001035
100,287,0.0193,0.0189,291.17842817,0.019,1562719810,0.0189,0.0189622,90,18,0.0189
101,169,0.00034252,0.000328,9526.32722862,0.000332,1562719810,0.000332,0.00033407,93,250,0.00034252
102,186,0.00001009,0.00000901,873428.07909231,0.00000921,1562719810,0.00000908,0.00000987,34,101,0.00000913
103,175,0.00096482,0.0009189,8988.88109899,0.00093459,1562719810,0.000925,0.00093373,53,633,0.000926
104,273,0.00002117,0.00002016,15445.54375004,0.00002117,1562719810,0.0000205,0.00002435,9,14,0.00002016
105,101,0.05748428,0.04612215,3591.32213373,0.05287177,1562719882,0.05259808,0.05294643,103,232,0.04693139
106,179,0.00328,0.00315,25219.95751589,0.0031968,1562719882,0.00319152,0.00321891,84,189,0.0031896
107,155,0.00043955,0.00042449,749.41486793,0.00043242,1562719882,0.00042914,0.00043737,24,142,0.00043614
108,178,0.00011245,0.0001063,1394457.12816787,0.00011,1562719882,0.00010981,0.00011027,177,499,0.00010955
109,280,2.465,2.26406471,71.62954408,2.42231761,1562719882,2.37344909,2.46499999,29,19,2.29854285
110,146,0.0000908,0.0000878,893213.86365918,0.00008972,1562719882,0.0000894,0.00008966,87,148,0.0000908
111,170,0.00213,0.00197001,4287.38043905,0.00213,1562719882,0.00209901,0.00216834,57,97,0.00207
112,182,0.000575,0.00056217,1889.9556121,0.00056378,1562719882,0.00054882,0.00059,26,97,0.000575
113,149,0.01953826,0.01895855,794.71295582,0.0194,1562719882,0.01919387,0.01942346,105,192,0.01942346
114,144,0.00232161,0.00232161,323.80427266,0.00232161,1562719882,0.00228246,0.00246888,36,79,0.00232161
